Name,Geometrie (EWKT),Verwaltungseinheit,Verwaltungsebene,Planungsregion,Anteil Wasserkraft an Stromproduktion EE (%),Anteil Wind an Stromproduktion EE (%),Anteil PV an Stromproduktion EE (%),Anteil Biomasse an Stromproduktion EE (%),Anteil Geothermie an Stromproduktion EE (%),Stromproduktion Wasserkraft 2021 (MWh/a),Stromproduktion Wind 2021 (MWh/a),Stromproduktion PV 2021 (MWh/a),Stromproduktion Biomasse 2021 (MWh/a),Stromproduktion Geothermie 2021 (MWh/a),Stromproduktion EE 2021 (MWh/a),Einwohnerzahl,Fläche (km²)
Neufahrn i.NB,SRID=31468;POINT (4514024.293323883 5399663.948119012),274153,Gemeinde,13.0,0.26,0.0,56.9,42.8,0.0,95.4,0.0,21152.0,15913.0,0.0,37161.0,4385.0,38.8
Neufraunhofen,SRID=31468;POINT (4515921.3556997115 5361571.816636799),274154,Gemeinde,13.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,4704.0,0.0,0.0,4704.0,1135.0,18
Niederaichbach,SRID=31468;POINT (4523445.417898199 5385138.424658124),274156,Gemeinde,13.0,85.7,0.0,6.2,8.1,0.0,84915.0,0.0,6140.0,7997.0,0.0,99051.0,4090.0,34.1
Obersüßbach,SRID=31468;POINT (4496142.073526336 5385900.761006819),274165,Gemeinde,13.0,0.0,0.0,70.6,29.4,0.0,0.0,0.0,7289.0,3042.0,0.0,10331.0,1725.0,23.6
Pfeffenhausen,SRID=31468;POINT (4497475.701455162 5391976.9208024),274172,Gemeinde,13.0,0.0,8.1,49.9,42.0,0.0,0.0,4528.0,28050.0,23637.0,0.0,56215.0,5129.0,71.8
Postau,SRID=31468;POINT (4524123.056137299 5390209.04138997),274174,Gemeinde,13.0,0.0,48.3,51.7,0.0,0.0,0.0,4300.0,4605.0,0.0,0.0,8905.0,1663.0,34.8
Rottenburg a.d.Laaber,SRID=31468;POINT (4502094.23065961 5396192.668815051),274176,Gemeinde,13.0,0.13,0.0,75.6,24.2,0.0,38.0,0.0,21947.0,7029.0,0.0,29014.0,8475.0,90.2
Schalkham,SRID=31468;POINT (4530985.825332419 5372486.98384568),274179,Gemeinde,13.0,2.0,0.0,29.0,69.0,0.0,203.0,0.0,2971.0,7074.0,0.0,10247.0,924.0,22.7
Tiefenbach,SRID=31468;POINT (4507557.875410061 5373708.756338051),274182,Gemeinde,13.0,73.0,0.0,27.0,0.0,0.0,81357.0,0.0,30167.0,0.0,0.0,111524.0,3993.0,24.7
Velden,SRID=31468;POINT (4518908.604425062 5358682.46814041),274183,Gemeinde,13.0,0.0,0.0,60.0,40.0,0.0,0.0,0.0,10415.0,6950.0,0.0,17365.0,6677.0,49.5
Vilsbiburg,SRID=31468;POINT (4526288.688606475 5368096.428796207),274184,Gemeinde,13.0,0.81,0.0,54.1,45.1,0.0,371.0,0.0,24632.0,20533.0,0.0,45536.0,12325.0,68.9
Vilsheim,SRID=31468;POINT (4507919.747248597 5367758.4492529705),274185,Gemeinde,13.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,3552.0,0.0,0.0,3552.0,2768.0,21.7
Weihmichl,SRID=31468;POINT (4503357.996108414 5385206.8383668065),274187,Gemeinde,13.0,0.0,0.0,42.0,58.0,0.0,0.0,0.0,5409.0,7482.0,0.0,12890.0,2525.0,32.2
Weng,SRID=31468;POINT (4527328.748148943 5391360.449961576),274188,Gemeinde,13.0,0.0,0.0,85.5,14.5,0.0,0.0,0.0,4546.0,769.0,0.0,5315.0,1495.0,15.6
Wörth a.d.Isar,SRID=31468;POINT (4525107.981957449 5387322.036181591),274191,Gemeinde,13.0,0.0,0.0,57.4,42.6,0.0,0.0,0.0,4429.0,3285.0,0.0,7713.0,3144.0,4.8
Wurmsham,SRID=31468;POINT (4525108.552828764 5356184.626634795),274193,Gemeinde,13.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,5050.0,0.0,0.0,5050.0,1388.0,28.2
Bruckberg,SRID=31468;POINT (4499628.880438968 5376267.260018629),274194,Gemeinde,13.0,1.8,0.0,88.8,9.3,0.0,526.0,0.0,25489.0,2682.0,0.0,28696.0,5645.0,51.1
Passau,SRID=31468;POINT (4596865.195213323 5376452.511350886),275000,Landkreis,unbekannt,57.9,0.04,32.3,9.7,0.0,830196.0,516.0,463772.0,139135.0,0.0,1433619.0,194090.0,1533
Aicha vorm Wald,SRID=31468;POINT (4595083.846667503 5393505.529953748),275111,Gemeinde,12.0,9.4,0.0,88.5,2.1,0.0,587.0,0.0,5494.0,130.0,0.0,6212.0,2406.0,20.4
Aidenbach,SRID=31468;POINT (4580512.988115953 5381652.558641921),275112,Gemeinde,12.0,0.9,0.0,99.1,0.0,0.0,61.3,0.0,6717.0,0.0,0.0,6778.0,3091.0,17.1
Aldersbach,SRID=31468;POINT (4580227.569508407 5384110.1253561685),275114,Gemeinde,12.0,2.9,0.0,97.1,0.0,0.0,626.0,0.0,20937.0,0.0,0.0,21563.0,4365.0,45.9
Bad Füssing,SRID=31468;POINT (4597294.045408933 5358224.920360612),275116,Gemeinde,12.0,91.7,0.0,4.5,3.8,0.0,217644.0,0.0,10715.0,8983.0,0.0,237342.0,7787.0,55.2
Beutelsbach,SRID=31468;POINT (4582319.372875227 5379926.332437267),275117,Gemeinde,12.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,12869.0,0.0,0.0,12869.0,1196.0,20.4
Breitenberg,SRID=31468;POINT (4632166.260407942 5397711.415391382),275118,Gemeinde,12.0,3.3,0.0,37.8,58.9,0.0,273.0,0.0,3130.0,4867.0,0.0,8270.0,2040.0,29.9
Büchlberg,SRID=31468;POINT (4611396.010591269 5393349.107718286),275119,Gemeinde,12.0,4.8,0.0,80.6,14.6,0.0,451.0,0.0,7536.0,1364.0,0.0,9350.0,4128.0,28.2
Eging a.See,SRID=31468;POINT (4593681.771702122 5398025.070244678),275120,Gemeinde,12.0,1.7,0.0,94.4,3.9,0.0,185.0,0.0,10130.0,414.0,0.0,10729.0,4336.0,23.7
Fürstenstein,SRID=31468;POINT (4597993.744351913 5398880.215705147),275121,Gemeinde,12.0,3.8,0.0,96.2,0.0,0.0,185.0,0.0,4695.0,0.0,0.0,4880.0,3502.0,19.3
Fürstenzell,SRID=31468;POINT (4597470.606316235 5376945.749876173),275122,Gemeinde,12.0,0.29,0.0,99.7,0.04,0.0,103.0,0.0,35280.0,13.5,0.0,35397.0,8287.0,79.5
Bad Griesbach i.Rottal,SRID=31468;POINT (4588338.6356138475 5369042.762741863),275124,Gemeinde,12.0,7.6,0.0,62.9,29.5,0.0,1797.0,0.0,14887.0,6986.0,0.0,23671.0,9047.0,70.2
Haarbach,SRID=31468;POINT (4585028.525253941 5374475.253862153),275125,Gemeinde,12.0,1.1,0.0,85.4,13.5,0.0,150.0,0.0,12063.0,1911.0,0.0,14124.0,2584.0,47.8
Hauzenberg,SRID=31468;POINT (4619902.712300647 5391777.170679618),275126,Gemeinde,12.0,10.0,0.0,57.6,32.4,0.0,2854.0,0.0,16528.0,9302.0,0.0,28683.0,11703.0,83
Hofkirchen,SRID=31468;POINT (4582475.443488843 5394010.038459965),275127,Gemeinde,12.0,0.62,0.0,72.4,27.0,0.0,115.0,0.0,13489.0,5038.0,0.0,18642.0,3759.0,32.8
Hutthurm,SRID=31468;POINT (4608687.808038539 5393926.76719289),275128,Gemeinde,12.0,9.3,0.0,75.9,14.8,0.0,1541.0,0.0,12540.0,2446.0,0.0,16527.0,6228.0,37.3
Kirchham,SRID=31468;POINT (4594059.785345767 5357175.5996036995),275130,Gemeinde,12.0,0.95,0.0,99.1,0.0,0.0,35.1,0.0,3673.0,0.0,0.0,3708.0,2441.0,18.5
Kößlarn,SRID=31468;POINT (4583221.9573577605 5359959.486424812),275131,Gemeinde,12.0,0.0,0.0,64.1,35.9,0.0,0.0,0.0,8392.0,4698.0,0.0,13090.0,1916.0,25.5
Malching,SRID=31468;POINT (4588266.425894345 5353474.266583952),275132,Gemeinde,12.0,0.0,0.0,43.6,56.4,0.0,0.0,0.0,3140.0,4057.0,0.0,7197.0,1243.0,25.3
Neuburg a.Inn,SRID=31468;POINT (4607157.975249547 5375398.102676367),275133,Gemeinde,12.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,11129.0,0.0,0.0,11129.0,4310.0,41.8
Neuhaus a.Inn,SRID=31468;POINT (4605143.843120035 5370174.2362335175),275134,Gemeinde,12.0,94.9,0.0,5.1,0.0,0.0,228008.0,0.0,12358.0,0.0,0.0,240366.0,3451.0,31.1
Neukirchen vorm Wald,SRID=31468;POINT (4601945.554120652 5395470.370401484),275135,Gemeinde,12.0,0.0,0.0,93.8,6.2,0.0,0.0,0.0,7032.0,462.0,0.0,7494.0,2941.0,24.3
Obernzell,SRID=31468;POINT (4621009.569285591 5380950.4148088135),275137,Gemeinde,12.0,56.4,0.0,43.6,0.0,0.0,6104.0,0.0,4724.0,0.0,0.0,10828.0,3841.0,18.3
Ortenburg,SRID=31468;POINT (4590588.734009229 5379124.288124162),275138,Gemeinde,12.0,0.99,0.0,73.9,25.1,0.0,202.0,0.0,15120.0,5126.0,0.0,20448.0,7403.0,60.8
Pocking,SRID=31468;POINT (4597133.360319234 5363335.4044343615),275141,Gemeinde,12.0,0.0,0.0,86.1,13.9,0.0,0.0,0.0,51255.0,8241.0,0.0,59496.0,16223.0,69
Rotthalmünster,SRID=31468;POINT (4589250.837042676 5358691.11606275),275143,Gemeinde,12.0,0.0,0.0,71.4,28.6,0.0,0.0,0.0,9773.0,3914.0,0.0,13687.0,5034.0,44.6
Ruderting,SRID=31468;POINT (4603884.168332067 5391599.930144239),275144,Gemeinde,12.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,3671.0,0.0,0.0,3671.0,3124.0,13
Ruhstorf a.d.Rott,SRID=31468;POINT (4598920.300810873 5367640.46908888),275145,Gemeinde,12.0,9.0,0.0,83.5,7.5,0.0,2497.0,0.0,23189.0,2072.0,0.0,27757.0,7118.0,51.6
