GENESIS-Tabelle: 46251-004r
Bestand an Personenkraftwagen: Kreise, PKW,;;;;;;;;;
Kraftstoffarten, Stichtag;;;;;;;;;
Statistik des Kfz- und Anhängerbestandes;;;;;;;;;
Stichtag: 01.01.2021;;;;;;;;;
;;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten
;;Insgesamt;Benzin;Diesel;Gas;Hybrid;darunter;Elektro;sonstige (bis 2016 einschl. Hybrid/Elektro)
;;;;;;;Plug-in-Hybrid;;
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
09576;    Roth (Lkr);87322;54003;30760;392;1644;427;508;15
09577;    Weißenburg-Gunzenhausen (Lkr);62941;38484;22670;423;908;284;445;11
096;  Unterfranken;862495;528685;304916;7661;15084;4455;5972;177
09661;    Aschaffenburg (Krfr.St);42860;27758;13384;364;1014;399;334;6
09662;    Schweinfurt (Krfr.St);29202;17350;10482;266;910;372;191;3
09663;    Würzburg (Krfr.St);65001;40639;21308;694;1776;568;568;16
09671;    Aschaffenburg (Lkr);118876;77023;37955;892;2209;692;777;20
09672;    Bad Kissingen (Lkr);71189;41851;27503;622;792;204;407;14
09673;    Rhön-Grabfeld (Lkr);55122;30401;22801;459;726;210;721;14
09674;    Haßberge (Lkr);58893;33055;24318;583;577;187;345;15
09675;    Kitzingen (Lkr);62273;38042;22277;517;1036;263;390;11
09676;    Miltenberg (Lkr);86895;53267;30752;623;1868;476;370;15
09677;    Main-Spessart (Lkr);86049;52532;30967;788;1294;309;450;18
09678;    Schweinfurt (Lkr);79033;48829;27810;745;1102;303;522;25
09679;    Würzburg (Lkr);107102;67938;35359;1108;1780;472;897;20
097;  Schwaben;1192717;751759;404014;7892;21792;5781;7064;196
09761;    Augsburg (Krfr.St);139358;90654;42593;1401;3881;964;797;32
09762;    Kaufbeuren (Krfr.St);25482;16707;7923;175;517;109;157;3
09763;    Kempten (Allgäu) (Krfr.St);40077;24787;13848;229;902;276;305;6
09764;    Memmingen (Krfr.St);27081;16704;9557;158;494;141;166;2
09771;    Aichach-Friedberg (Lkr);88078;55705;29575;646;1597;353;543;12
09772;    Augsburg (Lkr);168234;110067;52302;1093;3761;912;989;22
09773;    Dillingen a.d.Donau (Lkr);66121;41145;23129;422;1093;258;317;15
09774;    Günzburg (Lkr);85301;51806;31461;456;1149;350;417;12
09775;    Neu-Ulm (Lkr);111254;72160;35968;658;1820;635;627;21
09776;    Lindau (Bodensee) (Lkr);52921;33690;17800;277;782;252;363;9
09777;    Ostallgäu (Lkr);93138;57460;32938;702;1381;370;641;16
09778;    Unterallgäu (Lkr);100174;61677;36084;621;1267;311;504;21
09779;    Donau-Ries (Lkr);92797;55679;34241;582;1752;440;535;8
09780;    Oberallgäu (Lkr);102701;63518;36595;472;1396;410;703;17
__________
"Quelle: Kraftfahrt-Bundesamt, Flensburg
http://www.kba.de
 
Methodische Erläuterungen zu Statistiken über
Fahrzeugzulassungen können auf der KBA-Internetseite
abgerufen werden.
 
Ohne Fahrzeuge, die regional nicht zugeordnet werden
konnten.
 
Ab 1.1.2008:
ohne vorübergehend stillgelegte Fahrzeuge."
© Bayerisches Landesamt für Statistik, Fürth 2024
Stand: 02.05.2024 / 12:18:57
