Statistik_Code;Statistik_Label;Zeit_Code;Zeit_Label;Zeit;1_Merkmal_Code;1_Merkmal_Label;1_Auspraegung_Code;1_Auspraegung_Label;2_Merkmal_Code;2_Merkmal_Label;2_Auspraegung_Code;2_Auspraegung_Label;PKW__Personenkraftwagen_nach_Kraftstoffarten__Anzahl
46251;Statistik des Kfz- und Anhängerbestandes;STAG;Stichtag;01.01.2019;KREISE;Kreise;09162;    München, Landeshauptstadt;KSTOFF;nach Kraftstoffarten;GAS2;Gas;3796
46251;Statistik des Kfz- und Anhängerbestandes;STAG;Stichtag;01.01.2019;KREISE;Kreise;09162;    München, Landeshauptstadt;KSTOFF;nach Kraftstoffarten;HYBRID;Hybrid;11110
46251;Statistik des Kfz- und Anhängerbestandes;STAG;Stichtag;01.01.2019;KREISE;Kreise;09163;    Rosenheim (Krfr.St);KSTOF1;darunter;HYBRID2;Plug-in-Hybrid;54
46251;Statistik des Kfz- und Anhängerbestandes;STAG;Stichtag;01.01.2019;KREISE;Kreise;09163;    Rosenheim (Krfr.St);KSTOFF;nach Kraftstoffarten;ELEKTRO;Elektro;76
46251;Statistik des Kfz- und Anhängerbestandes;STAG;Stichtag;01.01.2019;KREISE;Kreise;09163;    Rosenheim (Krfr.St);KSTOFF;nach Kraftstoffarten;SONSKRFTSTFF;sonstige (bis 2016 einschl. Hybrid/Elektro);6
46251;Statistik des Kfz- und Anhängerbestandes;STAG;Stichtag;01.01.2019;KREISE;Kreise;09163;    Rosenheim (Krfr.St);KSTOFF;nach Kraftstoffarten;;Insgesamt;34480
46251;Statistik des Kfz- und Anhängerbestandes;STAG;Stichtag;01.01.2019;KREISE;Kreise;09163;    Rosenheim (Krfr.St);KSTOFF;nach Kraftstoffarten;BENZIN;Benzin;21508
46251;Statistik des Kfz- und Anhängerbestandes;STAG;Stichtag;01.01.2019;KREISE;Kreise;09163;    Rosenheim (Krfr.St);KSTOFF;nach Kraftstoffarten;DIESEL;Diesel;12440
46251;Statistik des Kfz- und Anhängerbestandes;STAG;Stichtag;01.01.2019;KREISE;Kreise;09163;    Rosenheim (Krfr.St);KSTOFF;nach Kraftstoffarten;GAS2;Gas;230
46251;Statistik des Kfz- und Anhängerbestandes;STAG;Stichtag;01.01.2019;KREISE;Kreise;09163;    Rosenheim (Krfr.St);KSTOFF;nach Kraftstoffarten;HYBRID;Hybrid;220
46251;Statistik des Kfz- und Anhängerbestandes;STAG;Stichtag;01.01.2019;KREISE;Kreise;09171;    Altötting (Lkr);KSTOF1;darunter;HYBRID2;Plug-in-Hybrid;81
46251;Statistik des Kfz- und Anhängerbestandes;STAG;Stichtag;01.01.2019;KREISE;Kreise;09171;    Altötting (Lkr);KSTOFF;nach Kraftstoffarten;ELEKTRO;Elektro;145
46251;Statistik des Kfz- und Anhängerbestandes;STAG;Stichtag;01.01.2019;KREISE;Kreise;09171;    Altötting (Lkr);KSTOFF;nach Kraftstoffarten;SONSKRFTSTFF;sonstige (bis 2016 einschl. Hybrid/Elektro);12
46251;Statistik des Kfz- und Anhängerbestandes;STAG;Stichtag;01.01.2019;KREISE;Kreise;09171;    Altötting (Lkr);KSTOFF;nach Kraftstoffarten;;Insgesamt;69628
46251;Statistik des Kfz- und Anhängerbestandes;STAG;Stichtag;01.01.2019;KREISE;Kreise;09171;    Altötting (Lkr);KSTOFF;nach Kraftstoffarten;BENZIN;Benzin;44179
46251;Statistik des Kfz- und Anhängerbestandes;STAG;Stichtag;01.01.2019;KREISE;Kreise;09171;    Altötting (Lkr);KSTOFF;nach Kraftstoffarten;DIESEL;Diesel;24365
46251;Statistik des Kfz- und Anhängerbestandes;STAG;Stichtag;01.01.2019;KREISE;Kreise;09171;    Altötting (Lkr);KSTOFF;nach Kraftstoffarten;GAS2;Gas;386
46251;Statistik des Kfz- und Anhängerbestandes;STAG;Stichtag;01.01.2019;KREISE;Kreise;09171;    Altötting (Lkr);KSTOFF;nach Kraftstoffarten;HYBRID;Hybrid;541
46251;Statistik des Kfz- und Anhängerbestandes;STAG;Stichtag;01.01.2019;KREISE;Kreise;09172;    Berchtesgadener Land (Lkr);KSTOF1;darunter;HYBRID2;Plug-in-Hybrid;87
46251;Statistik des Kfz- und Anhängerbestandes;STAG;Stichtag;01.01.2019;KREISE;Kreise;09172;    Berchtesgadener Land (Lkr);KSTOFF;nach Kraftstoffarten;ELEKTRO;Elektro;121
46251;Statistik des Kfz- und Anhängerbestandes;STAG;Stichtag;01.01.2019;KREISE;Kreise;09172;    Berchtesgadener Land (Lkr);KSTOFF;nach Kraftstoffarten;SONSKRFTSTFF;sonstige (bis 2016 einschl. Hybrid/Elektro);14
46251;Statistik des Kfz- und Anhängerbestandes;STAG;Stichtag;01.01.2019;KREISE;Kreise;09172;    Berchtesgadener Land (Lkr);KSTOFF;nach Kraftstoffarten;;Insgesamt;64182
46251;Statistik des Kfz- und Anhängerbestandes;STAG;Stichtag;01.01.2019;KREISE;Kreise;09172;    Berchtesgadener Land (Lkr);KSTOFF;nach Kraftstoffarten;BENZIN;Benzin;41200
46251;Statistik des Kfz- und Anhängerbestandes;STAG;Stichtag;01.01.2019;KREISE;Kreise;09172;    Berchtesgadener Land (Lkr);KSTOFF;nach Kraftstoffarten;DIESEL;Diesel;22186
46251;Statistik des Kfz- und Anhängerbestandes;STAG;Stichtag;01.01.2019;KREISE;Kreise;09172;    Berchtesgadener Land (Lkr);KSTOFF;nach Kraftstoffarten;GAS2;Gas;304
46251;Statistik des Kfz- und Anhängerbestandes;STAG;Stichtag;01.01.2019;KREISE;Kreise;09172;    Berchtesgadener Land (Lkr);KSTOFF;nach Kraftstoffarten;HYBRID;Hybrid;357
46251;Statistik des Kfz- und Anhängerbestandes;STAG;Stichtag;01.01.2019;KREISE;Kreise;09173;    Bad Tölz-Wolfratshausen (Lkr);KSTOF1;darunter;HYBRID2;Plug-in-Hybrid;158
46251;Statistik des Kfz- und Anhängerbestandes;STAG;Stichtag;01.01.2019;KREISE;Kreise;09173;    Bad Tölz-Wolfratshausen (Lkr);KSTOFF;nach Kraftstoffarten;ELEKTRO;Elektro;184
46251;Statistik des Kfz- und Anhängerbestandes;STAG;Stichtag;01.01.2019;KREISE;Kreise;09173;    Bad Tölz-Wolfratshausen (Lkr);KSTOFF;nach Kraftstoffarten;SONSKRFTSTFF;sonstige (bis 2016 einschl. Hybrid/Elektro);16
46251;Statistik des Kfz- und Anhängerbestandes;STAG;Stichtag;01.01.2019;KREISE;Kreise;09173;    Bad Tölz-Wolfratshausen (Lkr);KSTOFF;nach Kraftstoffarten;;Insgesamt;78997
46251;Statistik des Kfz- und Anhängerbestandes;STAG;Stichtag;01.01.2019;KREISE;Kreise;09173;    Bad Tölz-Wolfratshausen (Lkr);KSTOFF;nach Kraftstoffarten;BENZIN;Benzin;47548
46251;Statistik des Kfz- und Anhängerbestandes;STAG;Stichtag;01.01.2019;KREISE;Kreise;09173;    Bad Tölz-Wolfratshausen (Lkr);KSTOFF;nach Kraftstoffarten;DIESEL;Diesel;30128
46251;Statistik des Kfz- und Anhängerbestandes;STAG;Stichtag;01.01.2019;KREISE;Kreise;09173;    Bad Tölz-Wolfratshausen (Lkr);KSTOFF;nach Kraftstoffarten;GAS2;Gas;514
46251;Statistik des Kfz- und Anhängerbestandes;STAG;Stichtag;01.01.2019;KREISE;Kreise;09173;    Bad Tölz-Wolfratshausen (Lkr);KSTOFF;nach Kraftstoffarten;HYBRID;Hybrid;607
46251;Statistik des Kfz- und Anhängerbestandes;STAG;Stichtag;01.01.2019;KREISE;Kreise;09174;    Dachau (Lkr);KSTOF1;darunter;HYBRID2;Plug-in-Hybrid;131
46251;Statistik des Kfz- und Anhängerbestandes;STAG;Stichtag;01.01.2019;KREISE;Kreise;09174;    Dachau (Lkr);KSTOFF;nach Kraftstoffarten;ELEKTRO;Elektro;185
46251;Statistik des Kfz- und Anhängerbestandes;STAG;Stichtag;01.01.2019;KREISE;Kreise;09174;    Dachau (Lkr);KSTOFF;nach Kraftstoffarten;SONSKRFTSTFF;sonstige (bis 2016 einschl. Hybrid/Elektro);16
46251;Statistik des Kfz- und Anhängerbestandes;STAG;Stichtag;01.01.2019;KREISE;Kreise;09174;    Dachau (Lkr);KSTOFF;nach Kraftstoffarten;;Insgesamt;91127
46251;Statistik des Kfz- und Anhängerbestandes;STAG;Stichtag;01.01.2019;KREISE;Kreise;09174;    Dachau (Lkr);KSTOFF;nach Kraftstoffarten;BENZIN;Benzin;58574
46251;Statistik des Kfz- und Anhängerbestandes;STAG;Stichtag;01.01.2019;KREISE;Kreise;09174;    Dachau (Lkr);KSTOFF;nach Kraftstoffarten;DIESEL;Diesel;31036
46251;Statistik des Kfz- und Anhängerbestandes;STAG;Stichtag;01.01.2019;KREISE;Kreise;09174;    Dachau (Lkr);KSTOFF;nach Kraftstoffarten;GAS2;Gas;651
46251;Statistik des Kfz- und Anhängerbestandes;STAG;Stichtag;01.01.2019;KREISE;Kreise;09174;    Dachau (Lkr);KSTOFF;nach Kraftstoffarten;HYBRID;Hybrid;665
46251;Statistik des Kfz- und Anhängerbestandes;STAG;Stichtag;01.01.2019;KREISE;Kreise;09175;    Ebersberg (Lkr);KSTOF1;darunter;HYBRID2;Plug-in-Hybrid;161
46251;Statistik des Kfz- und Anhängerbestandes;STAG;Stichtag;01.01.2019;KREISE;Kreise;09175;    Ebersberg (Lkr);KSTOFF;nach Kraftstoffarten;ELEKTRO;Elektro;258
46251;Statistik des Kfz- und Anhängerbestandes;STAG;Stichtag;01.01.2019;KREISE;Kreise;09175;    Ebersberg (Lkr);KSTOFF;nach Kraftstoffarten;SONSKRFTSTFF;sonstige (bis 2016 einschl. Hybrid/Elektro);15
46251;Statistik des Kfz- und Anhängerbestandes;STAG;Stichtag;01.01.2019;KREISE;Kreise;09175;    Ebersberg (Lkr);KSTOFF;nach Kraftstoffarten;;Insgesamt;83357
46251;Statistik des Kfz- und Anhängerbestandes;STAG;Stichtag;01.01.2019;KREISE;Kreise;09175;    Ebersberg (Lkr);KSTOFF;nach Kraftstoffarten;BENZIN;Benzin;51726
46251;Statistik des Kfz- und Anhängerbestandes;STAG;Stichtag;01.01.2019;KREISE;Kreise;09175;    Ebersberg (Lkr);KSTOFF;nach Kraftstoffarten;DIESEL;Diesel;30171
46251;Statistik des Kfz- und Anhängerbestandes;STAG;Stichtag;01.01.2019;KREISE;Kreise;09175;    Ebersberg (Lkr);KSTOFF;nach Kraftstoffarten;GAS2;Gas;490
46251;Statistik des Kfz- und Anhängerbestandes;STAG;Stichtag;01.01.2019;KREISE;Kreise;09175;    Ebersberg (Lkr);KSTOFF;nach Kraftstoffarten;HYBRID;Hybrid;697
46251;Statistik des Kfz- und Anhängerbestandes;STAG;Stichtag;01.01.2019;KREISE;Kreise;09176;    Eichstätt (Lkr);KSTOF1;darunter;HYBRID2;Plug-in-Hybrid;91
46251;Statistik des Kfz- und Anhängerbestandes;STAG;Stichtag;01.01.2019;KREISE;Kreise;09176;    Eichstätt (Lkr);KSTOFF;nach Kraftstoffarten;ELEKTRO;Elektro;158
46251;Statistik des Kfz- und Anhängerbestandes;STAG;Stichtag;01.01.2019;KREISE;Kreise;09176;    Eichstätt (Lkr);KSTOFF;nach Kraftstoffarten;SONSKRFTSTFF;sonstige (bis 2016 einschl. Hybrid/Elektro);12
46251;Statistik des Kfz- und Anhängerbestandes;STAG;Stichtag;01.01.2019;KREISE;Kreise;09176;    Eichstätt (Lkr);KSTOFF;nach Kraftstoffarten;;Insgesamt;82495
46251;Statistik des Kfz- und Anhängerbestandes;STAG;Stichtag;01.01.2019;KREISE;Kreise;09176;    Eichstätt (Lkr);KSTOFF;nach Kraftstoffarten;BENZIN;Benzin;50166
46251;Statistik des Kfz- und Anhängerbestandes;STAG;Stichtag;01.01.2019;KREISE;Kreise;09176;    Eichstätt (Lkr);KSTOFF;nach Kraftstoffarten;DIESEL;Diesel;31140
46251;Statistik des Kfz- und Anhängerbestandes;STAG;Stichtag;01.01.2019;KREISE;Kreise;09176;    Eichstätt (Lkr);KSTOFF;nach Kraftstoffarten;GAS2;Gas;571
46251;Statistik des Kfz- und Anhängerbestandes;STAG;Stichtag;01.01.2019;KREISE;Kreise;09176;    Eichstätt (Lkr);KSTOFF;nach Kraftstoffarten;HYBRID;Hybrid;448
46251;Statistik des Kfz- und Anhängerbestandes;STAG;Stichtag;01.01.2019;KREISE;Kreise;09177;    Erding (Lkr);KSTOF1;darunter;HYBRID2;Plug-in-Hybrid;109
46251;Statistik des Kfz- und Anhängerbestandes;STAG;Stichtag;01.01.2019;KREISE;Kreise;09177;    Erding (Lkr);KSTOFF;nach Kraftstoffarten;ELEKTRO;Elektro;185
46251;Statistik des Kfz- und Anhängerbestandes;STAG;Stichtag;01.01.2019;KREISE;Kreise;09177;    Erding (Lkr);KSTOFF;nach Kraftstoffarten;SONSKRFTSTFF;sonstige (bis 2016 einschl. Hybrid/Elektro);18
46251;Statistik des Kfz- und Anhängerbestandes;STAG;Stichtag;01.01.2019;KREISE;Kreise;09177;    Erding (Lkr);KSTOFF;nach Kraftstoffarten;;Insgesamt;87593
