Statistik_Code;Statistik_Label;Zeit_Code;Zeit_Label;Zeit;1_Merkmal_Code;1_Merkmal_Label;1_Auspraegung_Code;1_Auspraegung_Label;2_Merkmal_Code;2_Merkmal_Label;2_Auspraegung_Code;2_Auspraegung_Label;PKW__Personenkraftwagen_nach_Kraftstoffarten__Anzahl
46251;Statistik des Kfz- und Anhängerbestandes;STAG;Stichtag;01.01.2024;KREISE;Kreise;09162;    München, Landeshauptstadt;KSTOFF;nach Kraftstoffarten;GAS2;Gas;3467
46251;Statistik des Kfz- und Anhängerbestandes;STAG;Stichtag;01.01.2024;KREISE;Kreise;09162;    München, Landeshauptstadt;KSTOFF;nach Kraftstoffarten;HYBRID;Hybrid;103686
46251;Statistik des Kfz- und Anhängerbestandes;STAG;Stichtag;01.01.2024;KREISE;Kreise;09163;    Rosenheim (Krfr.St);KSTOF1;darunter;HYBRID2;Plug-in-Hybrid;621
46251;Statistik des Kfz- und Anhängerbestandes;STAG;Stichtag;01.01.2024;KREISE;Kreise;09163;    Rosenheim (Krfr.St);KSTOFF;nach Kraftstoffarten;ELEKTRO;Elektro;999
46251;Statistik des Kfz- und Anhängerbestandes;STAG;Stichtag;01.01.2024;KREISE;Kreise;09163;    Rosenheim (Krfr.St);KSTOFF;nach Kraftstoffarten;SONSKRFTSTFF;sonstige (bis 2016 einschl. Hybrid/Elektro);7
46251;Statistik des Kfz- und Anhängerbestandes;STAG;Stichtag;01.01.2024;KREISE;Kreise;09163;    Rosenheim (Krfr.St);KSTOFF;nach Kraftstoffarten;;Insgesamt;36289
46251;Statistik des Kfz- und Anhängerbestandes;STAG;Stichtag;01.01.2024;KREISE;Kreise;09163;    Rosenheim (Krfr.St);KSTOFF;nach Kraftstoffarten;BENZIN;Benzin;21044
46251;Statistik des Kfz- und Anhängerbestandes;STAG;Stichtag;01.01.2024;KREISE;Kreise;09163;    Rosenheim (Krfr.St);KSTOFF;nach Kraftstoffarten;DIESEL;Diesel;11870
46251;Statistik des Kfz- und Anhängerbestandes;STAG;Stichtag;01.01.2024;KREISE;Kreise;09163;    Rosenheim (Krfr.St);KSTOFF;nach Kraftstoffarten;GAS2;Gas;215
46251;Statistik des Kfz- und Anhängerbestandes;STAG;Stichtag;01.01.2024;KREISE;Kreise;09163;    Rosenheim (Krfr.St);KSTOFF;nach Kraftstoffarten;HYBRID;Hybrid;2154
46251;Statistik des Kfz- und Anhängerbestandes;STAG;Stichtag;01.01.2024;KREISE;Kreise;09171;    Altötting (Lkr);KSTOF1;darunter;HYBRID2;Plug-in-Hybrid;1168
46251;Statistik des Kfz- und Anhängerbestandes;STAG;Stichtag;01.01.2024;KREISE;Kreise;09171;    Altötting (Lkr);KSTOFF;nach Kraftstoffarten;ELEKTRO;Elektro;2236
46251;Statistik des Kfz- und Anhängerbestandes;STAG;Stichtag;01.01.2024;KREISE;Kreise;09171;    Altötting (Lkr);KSTOFF;nach Kraftstoffarten;SONSKRFTSTFF;sonstige (bis 2016 einschl. Hybrid/Elektro);10
46251;Statistik des Kfz- und Anhängerbestandes;STAG;Stichtag;01.01.2024;KREISE;Kreise;09171;    Altötting (Lkr);KSTOFF;nach Kraftstoffarten;;Insgesamt;74426
