GENESIS-Tabelle: 46251-004r
Bestand an Personenkraftwagen: Kreise, PKW,;;;;;;;;;
Kraftstoffarten, Stichtag;;;;;;;;;
Statistik des Kfz- und Anhängerbestandes;;;;;;;;;
Stichtag: 01.01.2022;;;;;;;;;
;;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten
;;Insgesamt;Benzin;Diesel;Gas;Hybrid;darunter;Elektro;sonstige (bis 2016 einschl. Hybrid/Elektro)
;;;;;;;Plug-in-Hybrid;;
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
09;Bayern;8228614;4960037;2793431;48336;310116;101977;115288;1406
091;  Oberbayern;2840417;1672409;954010;14782;148959;47618;49818;439
09161;    Ingolstadt (Krfr.St);96916;54044;27638;540;11433;3573;3252;9
09162;    München, Landeshauptstadt;744826;430158;229533;3508;65968;19598;15529;130
09163;    Rosenheim (Krfr.St);35741;21499;12415;203;1148;373;468;8
09171;    Altötting (Lkr);72851;44262;25298;363;2048;638;872;8
09172;    Berchtesgadener Land (Lkr);66479;41115;22360;282;1910;502;801;11
09173;    Bad Tölz-Wolfratshausen (Lkr);82046;48064;29846;414;2707;833;997;18
09174;    Dachau (Lkr);95221;58858;31294;572;3177;1015;1304;16
09175;    Ebersberg (Lkr);86929;52509;29268;429;3228;1244;1484;11
09176;    Eichstätt (Lkr);86201;51113;31398;536;2136;676;1009;9
09177;    Erding (Lkr);91189;53068;33225;455;3145;889;1281;15
09178;    Freising (Lkr);110729;63121;41512;725;3520;1097;1836;15
09179;    Fürstenfeldbruck (Lkr);125139;79940;38483;733;4171;1342;1789;23
09180;    Garmisch-Partenkirchen (Lkr);53211;32663;17946;287;1643;499;659;13
09181;    Landsberg am Lech (Lkr);83726;48468;30399;587;2615;833;1642;15
09182;    Miesbach (Lkr);67334;39547;23920;245;2658;879;950;14
09183;    Mühldorf a.Inn (Lkr);76420;45289;27486;359;2289;606;988;9
09184;    München (Lkr);238718;135044;80537;989;16866;6870;5241;41
09185;    Neuburg-Schrobenhausen (Lkr);66766;39449;24398;424;1777;522;711;7
09186;    Pfaffenhofen a.d.Ilm (Lkr);85870;48902;32819;668;2258;700;1214;9
09187;    Rosenheim (Lkr);175351;105149;61388;900;5053;1650;2841;20
09188;    Starnberg (Lkr);89156;53818;29095;411;3822;1471;1999;11
09189;    Traunstein (Lkr);119533;71793;42276;598;3145;1023;1702;19
09190;    Weilheim-Schongau (Lkr);90065;54536;31476;554;2242;785;1249;8
092;  Niederbayern;831085;481875;310970;4236;24242;7363;9611;151
09261;    Landshut (Krfr.St);38362;22790;13386;217;1502;529;461;6
09262;    Passau (Krfr.St);29437;17772;9671;108;1496;488;383;7
09263;    Straubing (Krfr.St);27938;17131;9202;149;1043;388;411;2
09271;    Deggendorf (Lkr);80029;45938;30632;458;2116;674;880;5
09272;    Freyung-Grafenau (Lkr);53778;31012;20631;192;1489;439;449;5
09273;    Kelheim (Lkr);82212;46271;32445;578;1946;592;959;13
09274;    Landshut (Lkr);111553;61618;44377;688;3367;1141;1458;45
09275;    Passau (Lkr);131273;80809;44723;451;3751;1157;1506;33
09276;    Regen (Lkr);50961;29574;19208;209;1496;374;469;5
09277;    Rottal-Inn (Lkr);84589;49376;31701;416;2148;624;928;20
09278;    Straubing-Bogen (Lkr);70359;40952;26726;390;1568;391;717;6
09279;    Dingolfing-Landau (Lkr);70594;38632;28268;380;2320;566;990;4
093;  Oberpfalz;733235;439744;259352;4363;21022;7089;8626;128
09361;    Amberg (Krfr.St);25239;15941;7788;106;989;307;410;5
09362;    Regensburg (Krfr.St);82465;49148;27310;525;4092;1359;1367;23
09363;    Weiden i.d.OPf. (Krfr.St);26399;16615;8385;166;941;381;283;9
09371;    Amberg-Sulzbach (Lkr);71386;43307;25085;351;1675;615;956;12
09372;    Cham (Lkr);90340;53634;33339;611;1897;579;843;16
09373;    Neumarkt i.d.OPf. (Lkr);90971;53417;33472;466;2500;836;1110;6
09374;    Neustadt a.d.Waldnaab (Lkr);65831;39769;23487;373;1535;571;656;11
