GENESIS-Tabelle: 46251-004r
Bestand an Personenkraftwagen: Kreise, PKW,;;;;;;;;;
Kraftstoffarten, Stichtag;;;;;;;;;
Statistik des Kfz- und Anhängerbestandes;;;;;;;;;
Stichtag: 01.01.2022;;;;;;;;;
;;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten
09375;    Regensburg (Lkr);128940;77862;44766;897;3764;1188;1626;25
09376;    Schwandorf (Lkr);102467;59313;38995;669;2488;806;990;12
09377;    Tirschenreuth (Lkr);49197;30738;16725;199;1141;447;385;9
094;  Oberfranken;699515;446817;222194;3982;18353;6050;8031;138
09461;    Bamberg (Krfr.St);41052;25143;13545;341;1387;458;625;11
09462;    Bayreuth (Krfr.St);40242;25267;12472;193;1693;598;611;6
09463;    Coburg (Krfr.St);25074;16018;7661;144;873;265;371;7
09464;    Hof (Krfr.St);25800;17810;6662;115;904;324;303;6
09471;    Bamberg (Lkr);103030;63127;35990;611;2097;775;1190;15
09472;    Bayreuth (Lkr);72372;45316;24270;368;1626;511;782;10
09473;    Coburg (Lkr);59649;39750;17346;423;1434;473;688;8
09474;    Forchheim (Lkr);79040;49979;25619;427;1981;674;1020;14
09475;    Hof (Lkr);64310;42334;19354;392;1611;517;611;8
09476;    Kronach (Lkr);45909;29900;14362;229;1001;301;401;16
09477;    Kulmbach (Lkr);50247;31728;16149;302;1508;425;550;10
09478;    Lichtenfels (Lkr);45295;29083;14587;222;940;322;450;13
09479;    Wunsiedel i.Fichtelgebirge (Lkr);47495;31362;14177;215;1298;407;429;14
095;  Mittelfranken;1052966;652255;345729;5729;35668;12253;13391;194
09561;    Ansbach (Krfr.St);25653;15805;8383;207;937;313;319;2
09562;    Erlangen (Krfr.St);56024;35083;17637;333;2146;819;815;10
09563;    Fürth (Krfr.St);64475;41773;19078;358;2456;738;800;10
09564;    Nürnberg (Krfr.St);247825;153711;79017;1221;11109;3363;2723;44
09565;    Schwabach (Krfr.St);26499;17279;7560;101;1129;332;424;6
09571;    Ansbach (Lkr);128094;76314;46756;886;2684;1004;1431;23
09572;    Erlangen-Höchstadt (Lkr);93138;57167;30410;488;3503;1696;1538;32
09573;    Fürth (Lkr);78238;52260;22397;354;2212;719;1000;15
09574;    Nürnberger Land (Lkr);112370;71263;35343;505;3723;1176;1525;11
09575;    Neustadt a.d.Aisch-Bad Windsheim (Lkr);68931;40050;25887;454;1581;601;941;18
09576;    Roth (Lkr);88121;53445;30525;389;2695;914;1055;12
09577;    Weißenburg-Gunzenhausen (Lkr);63598;38105;22736;433;1493;578;820;11
096;  Unterfranken;866698;521191;300930;7449;25380;9449;11582;166
09661;    Aschaffenburg (Krfr.St);43157;27352;12861;370;1863;876;705;6
09662;    Schweinfurt (Krfr.St);29489;17172;10170;265;1492;695;385;5
09663;    Würzburg (Krfr.St);64743;39549;20657;701;2759;1025;1060;17
09671;    Aschaffenburg (Lkr);119210;75806;37064;907;3827;1516;1586;20
09672;    Bad Kissingen (Lkr);71609;41355;27453;581;1382;467;827;11
09673;    Rhön-Grabfeld (Lkr);55300;30024;22680;426;1160;425;999;11
09674;    Haßberge (Lkr);59309;32513;24444;555;1017;404;768;12
09675;    Kitzingen (Lkr);62562;37489;22100;499;1672;528;792;10
09676;    Miltenberg (Lkr);87479;53130;29834;598;3104;1072;799;14
09677;    Main-Spessart (Lkr);86495;51779;30787;759;2217;765;935;18
09678;    Schweinfurt (Lkr);79252;47868;27756;717;1815;599;1073;23
09679;    Würzburg (Lkr);108093;67154;35124;1071;3072;1077;1653;19
097;  Schwaben;1204698;745746;400246;7795;36492;12155;14229;190
09761;    Augsburg (Krfr.St);140439;89794;41461;1388;6247;2011;1519;30
09762;    Kaufbeuren (Krfr.St);26025;16711;7951;177;875;260;308;3
09763;    Kempten (Allgäu) (Krfr.St);40131;24284;13453;232;1522;482;634;6
09764;    Memmingen (Krfr.St);27212;16498;9351;150;865;315;347;1
09771;    Aichach-Friedberg (Lkr);89057;55275;29363;634;2596;829;1178;11
09772;    Augsburg (Lkr);169334;108603;51731;1107;5828;1918;2040;25
09773;    Dillingen a.d.Donau (Lkr);66810;40868;23050;413;1818;535;645;16
09774;    Günzburg (Lkr);86306;51487;31218;442;2202;814;945;12
09775;    Neu-Ulm (Lkr);112354;71752;35518;667;3139;1210;1260;18
09776;    Lindau (Bodensee) (Lkr);53376;33269;17755;274;1394;493;677;7
09777;    Ostallgäu (Lkr);94576;57415;32871;669;2332;748;1274;15
09778;    Unterallgäu (Lkr);101617;61637;36166;606;2132;694;1056;20
09779;    Donau-Ries (Lkr);93723;55330;33905;560;2930;960;989;9
09780;    Oberallgäu (Lkr);103738;62823;36453;476;2612;886;1357;17
__________
"Quelle: Kraftfahrt-Bundesamt, Flensburg
http://www.kba.de
 
Methodische Erläuterungen zu Statistiken über
Fahrzeugzulassungen können auf der KBA-Internetseite
abgerufen werden.
 
Ohne Fahrzeuge, die regional nicht zugeordnet werden
konnten.
 
Ab 1.1.2008:
ohne vorübergehend stillgelegte Fahrzeuge."
© Bayerisches Landesamt für Statistik, Fürth 2024
Stand: 02.05.2024 / 12:17:36
