GENESIS-Tabelle: 46251-004r
Bestand an Personenkraftwagen: Kreise, PKW,;;;;;;;;;
Kraftstoffarten, Stichtag;;;;;;;;;
Statistik des Kfz- und Anhängerbestandes;;;;;;;;;
Stichtag: 01.01.2018;;;;;;;;;
;;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten
09377;    Tirschenreuth (Lkr);47693;31400;15904;254;90;18;37;8
094;  Oberfranken;672484;440942;223464;4818;2315;518;788;157
09461;    Bamberg (Krfr.St);39820;24781;14384;361;203;52;79;12
09462;    Bayreuth (Krfr.St);38747;24842;13434;234;196;42;38;3
09463;    Coburg (Krfr.St);24902;15931;8635;171;110;26;47;8
09464;    Hof (Krfr.St);24539;17200;7042;155;106;27;33;3
09471;    Bamberg (Lkr);98231;62385;34714;744;247;54;122;19
09472;    Bayreuth (Lkr);69533;44853;23907;469;226;45;67;11
09473;    Coburg (Lkr);56926;39153;17007;516;170;37;74;6
09474;    Forchheim (Lkr);75586;48757;25898;495;299;71;120;17
09475;    Hof (Lkr);62092;41876;19484;489;170;42;55;18
09476;    Kronach (Lkr);44425;29430;14569;264;111;24;34;17
09477;    Kulmbach (Lkr);48320;31449;16221;378;221;33;42;9
09478;    Lichtenfels (Lkr);43456;28953;14085;293;66;24;46;13
09479;    Wunsiedel i.Fichtelgebirge (Lkr);45907;31332;14084;249;190;41;31;21
095;  Mittelfranken;1006559;640120;352620;6788;5244;1058;1603;184
09561;    Ansbach (Krfr.St);24716;15314;8940;231;175;34;53;3
09562;    Erlangen (Krfr.St);54302;34513;18977;360;348;89;95;9
09563;    Fürth (Krfr.St);61476;41108;19456;409;390;70;102;11
09564;    Nürnberg (Krfr.St);242017;153851;84820;1418;1490;262;399;39
09565;    Schwabach (Krfr.St);25363;17041;7943;113;217;20;43;6
09571;    Ansbach (Lkr);119972;73945;44427;1073;367;83;135;25
09572;    Erlangen-Höchstadt (Lkr);88642;55653;31758;602;435;152;169;25
09573;    Fürth (Lkr);74702;51101;22734;431;329;59;96;11
09574;    Nürnberger Land (Lkr);107172;69673;36121;644;551;124;169;14
09575;    Neustadt a.d.Aisch-Bad Windsheim (Lkr);64538;38520;25018;541;313;64;131;15
09576;    Roth (Lkr);83454;52063;30356;483;431;60;106;15
09577;    Weißenburg-Gunzenhausen (Lkr);60205;37338;22070;483;198;41;105;11
096;  Unterfranken;830888;517397;299349;8848;3772;737;1349;173
09661;    Aschaffenburg (Krfr.St);44186;28044;15495;367;189;29;83;8
09662;    Schweinfurt (Krfr.St);27745;17040;10118;301;225;50;56;5
09663;    Würzburg (Krfr.St);63188;39528;22344;777;406;107;123;10
09671;    Aschaffenburg (Lkr);114102;73762;38794;929;454;87;143;20
09672;    Bad Kissingen (Lkr);68181;41410;25730;729;180;39;119;13
09673;    Rhön-Grabfeld (Lkr);52697;30276;21379;611;201;44;216;14
09674;    Haßberge (Lkr);56489;32744;22853;700;116;33;63;13
09675;    Kitzingen (Lkr);59279;36933;21305;610;323;40;95;13
09676;    Miltenberg (Lkr);82278;51513;29458;725;506;67;65;11
09677;    Main-Spessart (Lkr);83188;51219;30548;933;382;80;92;14
09678;    Schweinfurt (Lkr);76271;48847;26040;909;314;71;130;31
09679;    Würzburg (Lkr);103284;66081;35285;1257;476;90;164;21
097;  Schwaben;1130824;722392;392209;8866;5708;935;1446;203
09761;    Augsburg (Krfr.St);134698;88430;43526;1477;1095;156;145;25
09762;    Kaufbeuren (Krfr.St);23926;15698;7860;203;135;21;28;2
09763;    Kempten (Allgäu) (Krfr.St);37807;23479;13757;276;222;51;68;5
09764;    Memmingen (Krfr.St);25340;15665;9363;179;99;29;31;3
09771;    Aichach-Friedberg (Lkr);83541;53495;28736;722;473;76;104;11
09772;    Augsburg (Lkr);158888;104902;51398;1253;1101;117;202;32
09773;    Dillingen a.d.Donau (Lkr);62259;39582;21776;520;321;40;44;16
09774;    Günzburg (Lkr);80570;49648;30014;532;273;49;89;14
09775;    Neu-Ulm (Lkr);105901;69656;35115;738;265;61;108;19
09776;    Lindau (Bodensee) (Lkr);50696;32710;17371;335;176;35;93;11
09777;    Ostallgäu (Lkr);87786;54951;31494;770;403;75;151;17
09778;    Unterallgäu (Lkr);93855;58676;33986;679;372;65;121;21
09779;    Donau-Ries (Lkr);88220;54225;32801;624;458;61;103;9
09780;    Oberallgäu (Lkr);97337;61275;35012;558;315;99;159;18
__________
"Quelle: Kraftfahrt-Bundesamt, Flensburg
http://www.kba.de
 
Methodische Erläuterungen zu Statistiken über
Fahrzeugzulassungen können auf der KBA-Internetseite
abgerufen werden.
 
Ohne Fahrzeuge, die regional nicht zugeordnet werden
konnten.
 
Ab 1.1.2008:
ohne vorübergehend stillgelegte Fahrzeuge."
© Bayerisches Landesamt für Statistik, Fürth 2024
Stand: 02.05.2024 / 12:21:08
