GENESIS-Tabelle: 46251-004r
Bestand an Personenkraftwagen: Kreise, PKW,;;;;;;;;;
Kraftstoffarten, Stichtag;;;;;;;;;
Statistik des Kfz- und Anhängerbestandes;;;;;;;;;
Stichtag: 01.01.2018;;;;;;;;;
;;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten
;;Insgesamt;Benzin;Diesel;Gas;Hybrid;darunter;Elektro;sonstige (bis 2016 einschl. Hybrid/Elektro)
;;;;;;;Plug-in-Hybrid;;
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
09;Bayern;7845761;4872189;2858419;57652;43055;10251;12953;1493
091;  Oberbayern;2722961;1645931;1033263;16928;20406;5732;5935;498
09161;    Ingolstadt (Krfr.St);95562;57050;35355;561;2372;688;210;14
09162;    München, Landeshauptstadt;727179;424574;288961;3748;7493;2645;2287;116
09163;    Rosenheim (Krfr.St);34167;21065;12649;240;156;39;50;7
09171;    Altötting (Lkr);68261;43543;23787;394;424;58;103;10
09172;    Berchtesgadener Land (Lkr);63167;40551;21942;312;275;55;70;17
09173;    Bad Tölz-Wolfratshausen (Lkr);77669;46458;30149;533;388;94;127;14
09174;    Dachau (Lkr);88893;56536;31069;670;472;87;128;18
09175;    Ebersberg (Lkr);81580;50027;30366;537;453;83;183;14
09176;    Eichstätt (Lkr);81041;49010;31135;569;221;63;95;11
09177;    Erding (Lkr);85506;51560;32539;572;711;67;107;17
09178;    Freising (Lkr);105034;61576;41862;820;500;110;257;19
09179;    Fürstenfeldbruck (Lkr);119956;78141;40138;820;680;125;159;18
09180;    Garmisch-Partenkirchen (Lkr);50803;32381;17748;345;259;47;57;13
09181;    Landsberg am Lech (Lkr);78040;46533;30122;710;469;79;191;15
09182;    Miesbach (Lkr);63730;38305;24630;347;308;95;123;17
09183;    Mühldorf a.Inn (Lkr);71036;44436;25585;450;470;59;88;7
09184;    München (Lkr);241015;141553;95580;1096;2109;696;582;95
09185;    Neuburg-Schrobenhausen (Lkr);62724;38140;23769;484;275;56;49;7
09186;    Pfaffenhofen a.d.Ilm (Lkr);80357;47195;31996;722;316;82;116;12
09187;    Rosenheim (Lkr);164843;102044;60677;1094;684;150;319;25
09188;    Starnberg (Lkr);85340;52276;31801;474;506;167;271;12
09189;    Traunstein (Lkr);112194;70099;40650;750;463;90;219;13
09190;    Weilheim-Schongau (Lkr);84864;52878;30753;680;402;97;144;7
092;  Niederbayern;779080;471335;298190;5575;2929;668;915;136
09261;    Landshut (Krfr.St);36208;22340;13340;246;235;66;42;5
09262;    Passau (Krfr.St);27448;17207;9906;116;178;26;30;11
09263;    Straubing (Krfr.St);26903;17128;9490;170;87;26;23;5
09271;    Deggendorf (Lkr);75342;45433;28954;681;198;56;67;9
09272;    Freyung-Grafenau (Lkr);50832;30313;20101;266;117;38;30;5
09273;    Kelheim (Lkr);77038;44830;31110;775;222;62;88;13
09274;    Landshut (Lkr);103375;59983;41789;836;607;100;147;13
09275;    Passau (Lkr);122653;78814;42683;621;379;83;116;40
09276;    Regen (Lkr);48175;29061;18539;284;160;41;125;6
09277;    Rottal-Inn (Lkr);79825;49023;29838;532;303;55;110;19
09278;    Straubing-Bogen (Lkr);66033;39978;25223;516;242;34;67;7
09279;    Dingolfing-Landau (Lkr);65248;37225;27217;532;201;81;70;3
093;  Oberpfalz;702965;434072;259324;5829;2681;603;917;142
09361;    Amberg (Krfr.St);24527;15912;8242;142;184;32;39;8
09362;    Regensburg (Krfr.St);85043;50032;33592;655;542;141;200;22
09363;    Weiden i.d.OPf. (Krfr.St);25612;16440;8885;163;91;23;24;9
09371;    Amberg-Sulzbach (Lkr);67929;42673;24439;474;235;47;96;12
09372;    Cham (Lkr);85508;53054;31379;826;158;36;75;16
09373;    Neumarkt i.d.OPf. (Lkr);85254;51734;32456;597;336;103;124;7
09374;    Neustadt a.d.Waldnaab (Lkr);63164;40106;22376;438;175;45;59;10
09375;    Regensburg (Lkr);121888;74876;44996;1260;533;100;189;34
09376;    Schwandorf (Lkr);96347;57845;37055;1020;337;58;74;16
