GENESIS-Tabelle: 46251-004r
Bestand an Personenkraftwagen: Kreise, PKW,;;;;;;;;;
Kraftstoffarten, Stichtag;;;;;;;;;
Statistik des Kfz- und Anhängerbestandes;;;;;;;;;
Stichtag: 01.01.2023;;;;;;;;;
;;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten
;;Insgesamt;Benzin;Diesel;Gas;Hybrid;darunter;Elektro;sonstige (bis 2016 einschl. Hybrid/Elektro)
;;;;;;;Plug-in-Hybrid;;
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
09;Bayern;8296429;4903524;2720752;48169;430863;155575;191652;1469
091;  Oberbayern;2874347;1650212;926347;14760;202972;71782;79580;476
09161;    Ingolstadt (Krfr.St);98747;53632;27632;514;12873;1948;4086;10
09162;    München, Landeshauptstadt;761349;421599;221273;3441;89941;33434;24939;156
09163;    Rosenheim (Krfr.St);36020;21217;12193;205;1662;587;736;7
09171;    Altötting (Lkr);73658;43855;24944;391;2902;1014;1558;8
09172;    Berchtesgadener Land (Lkr);67056;40711;21911;281;2803;789;1339;11
09173;    Bad Tölz-Wolfratshausen (Lkr);82446;47710;29009;423;3635;1212;1652;17
09174;    Dachau (Lkr);95518;57918;30560;566;4366;1586;2091;17
09175;    Ebersberg (Lkr);87636;51750;28489;441;4587;1836;2356;13
09176;    Eichstätt (Lkr);87081;50896;30837;559;2973;1029;1807;9
09177;    Erding (Lkr);91783;52609;32275;449;4382;1404;2055;13
09178;    Freising (Lkr);111921;63188;40280;718;5084;1698;2635;16
09179;    Fürstenfeldbruck (Lkr);125494;78796;37318;742;5866;2068;2750;22
09180;    Garmisch-Partenkirchen (Lkr);53367;32243;17620;287;2185;725;1019;13
09181;    Landsberg am Lech (Lkr);84951;48229;29859;583;3469;1150;2795;16
09182;    Miesbach (Lkr);67816;39169;23115;250;3649;1266;1621;12
09183;    Mühldorf a.Inn (Lkr);77350;45068;27047;381;3212;989;1632;10
09184;    München (Lkr);240952;131347;75837;967;23466;9847;9290;45
09185;    Neuburg-Schrobenhausen (Lkr);67210;39225;23913;420;2479;768;1164;9
09186;    Pfaffenhofen a.d.Ilm (Lkr);86392;48487;32033;677;3184;1043;1999;12
09187;    Rosenheim (Lkr);176546;104029;59963;919;7369;2504;4243;23
09188;    Starnberg (Lkr);89584;52978;28031;412;5218;2102;2933;12
09189;    Traunstein (Lkr);120900;71464;41460;588;4594;1652;2778;16
09190;    Weilheim-Schongau (Lkr);90570;54092;30748;546;3073;1131;2102;9
092;  Niederbayern;840337;479045;305154;4164;34751;11557;17067;156
09261;    Landshut (Krfr.St);38582;22609;12993;209;1991;695;773;7
09262;    Passau (Krfr.St);29824;17526;9407;104;2095;711;684;8
09263;    Straubing (Krfr.St);28134;16890;9108;147;1403;536;584;2
09271;    Deggendorf (Lkr);80877;45711;29954;440;3183;1095;1585;4
09272;    Freyung-Grafenau (Lkr);54298;30938;20039;190;2280;756;846;5
09273;    Kelheim (Lkr);83072;46083;31834;551;2821;932;1769;14
09274;    Landshut (Lkr);112861;61267;43663;658;4602;1659;2627;44
09275;    Passau (Lkr);133011;80353;43913;457;5445;1894;2807;36
09276;    Regen (Lkr);51372;29357;18719;209;2227;689;855;5
09277;    Rottal-Inn (Lkr);85742;49119;31463;424;3103;994;1613;20
09278;    Straubing-Bogen (Lkr);71196;40779;26314;395;2306;693;1395;7
09279;    Dingolfing-Landau (Lkr);71368;38413;27747;380;3295;903;1529;4
093;  Oberpfalz;738081;435771;252582;4318;30145;11060;15136;129
09361;    Amberg (Krfr.St);25238;15801;7394;101;1355;486;582;5
09362;    Regensburg (Krfr.St);81957;47401;26236;496;5708;2190;2091;25
09363;    Weiden i.d.OPf. (Krfr.St);26423;16382;8095;152;1328;552;456;10
09371;    Amberg-Sulzbach (Lkr);72020;42994;24489;346;2412;946;1769;10
09372;    Cham (Lkr);91350;53336;32784;621;2878;960;1713;18
09373;    Neumarkt i.d.OPf. (Lkr);91940;53214;32753;452;3514;1334;2000;7
09374;    Neustadt a.d.Waldnaab (Lkr);66264;39495;22936;364;2286;874;1172;11
