GENESIS-Tabelle: 46251-004r
Bestand an Personenkraftwagen: Kreise, PKW,;;;;;;;;;
Kraftstoffarten, Stichtag;;;;;;;;;
Statistik des Kfz- und Anhängerbestandes;;;;;;;;;
Stichtag: 01.01.2023;;;;;;;;;
;;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten
09375;    Regensburg (Lkr);130134;77575;43459;907;5239;1758;2930;24
09376;    Schwandorf (Lkr);103363;59144;38167;671;3675;1257;1696;10
09377;    Tirschenreuth (Lkr);49392;30429;16269;208;1750;703;727;9
094;  Oberfranken;702687;442037;215985;3980;27121;10127;13423;141
09461;    Bamberg (Krfr.St);41233;24784;13180;330;1949;695;979;11
09462;    Bayreuth (Krfr.St);41831;25463;12269;200;2530;1057;1362;7
09463;    Coburg (Krfr.St);25167;15710;7352;151;1361;504;586;7
09464;    Hof (Krfr.St);26169;17557;6452;115;1565;722;474;6
09471;    Bamberg (Lkr);103384;62693;35181;581;2988;1207;1926;15
09472;    Bayreuth (Lkr);72388;44761;23599;372;2370;836;1274;12
09473;    Coburg (Lkr);59883;39263;16886;414;2167;868;1145;8
09474;    Forchheim (Lkr);79114;49355;24921;409;2776;1031;1634;19
09475;    Hof (Lkr);64389;41793;18678;396;2495;928;1018;9
09476;    Kronach (Lkr);45997;29657;13874;229;1530;523;695;12
09477;    Kulmbach (Lkr);50426;31373;15757;315;2089;610;884;8
09478;    Lichtenfels (Lkr);45354;28852;14173;216;1403;498;697;13
09479;    Wunsiedel i.Fichtelgebirge (Lkr);47352;30776;13663;252;1898;648;749;14
095;  Mittelfranken;1056960;643265;336341;5674;48871;18120;22605;204
09561;    Ansbach (Krfr.St);25773;15606;8148;204;1304;457;509;2
09562;    Erlangen (Krfr.St);56078;34438;17090;320;2938;1184;1276;16
09563;    Fürth (Krfr.St);64384;40942;18492;352;3314;1073;1271;13
09564;    Nürnberg (Krfr.St);247839;150358;76563;1253;14860;4960;4760;45
09565;    Schwabach (Krfr.St);26576;16787;7383;100;1641;593;659;6
09571;    Ansbach (Lkr);128851;75820;45809;874;3808;1531;2517;23
09572;    Erlangen-Höchstadt (Lkr);93819;56685;29295;472;4688;2295;2645;34
09573;    Fürth (Lkr);78175;51274;21757;344;3119;1118;1667;14
09574;    Nürnberger Land (Lkr);112884;70520;34217;506;5140;1774;2490;11
09575;    Neustadt a.d.Aisch-Bad Windsheim (Lkr);69741;39981;25525;431;2187;894;1600;17
09576;    Roth (Lkr);88601;52942;29750;382;3732;1353;1783;12
09577;    Weißenburg-Gunzenhausen (Lkr);64239;37912;22312;436;2140;888;1428;11
096;  Unterfranken;869687;513771;293384;7358;35161;14381;19840;173
09661;    Aschaffenburg (Krfr.St);43586;27105;12378;363;2666;1347;1066;8
09662;    Schweinfurt (Krfr.St);29714;16952;9917;272;1957;966;612;4
09663;    Würzburg (Krfr.St);64161;38283;19817;668;3759;1468;1617;17
09671;    Aschaffenburg (Lkr);119370;74619;35895;900;5237;2234;2698;21
09672;    Bad Kissingen (Lkr);71888;40889;26973;559;1990;757;1465;12
09673;    Rhön-Grabfeld (Lkr);56328;29731;22306;437;1669;642;2172;13
09674;    Haßberge (Lkr);59661;32359;24013;548;1471;652;1257;13
09675;    Kitzingen (Lkr);62867;37036;21651;492;2283;808;1396;9
09676;    Miltenberg (Lkr);87826;52679;29080;576;4090;1559;1386;15
09677;    Main-Spessart (Lkr);86795;51151;30041;728;3169;1311;1688;18
09678;    Schweinfurt (Lkr);79215;46991;27213;720;2520;963;1749;22
09679;    Würzburg (Lkr);108276;65976;34100;1095;4350;1674;2734;21
097;  Schwaben;1214330;739423;390959;7915;51842;18548;24001;190
09761;    Augsburg (Krfr.St);140537;88070;40194;1395;8482;2956;2365;31
09762;    Kaufbeuren (Krfr.St);26105;16534;7707;194;1180;356;487;3
09763;    Kempten (Allgäu) (Krfr.St);40155;23740;13027;242;2178;757;963;5
09764;    Memmingen (Krfr.St);27423;16389;9074;152;1286;493;520;2
09771;    Aichach-Friedberg (Lkr);89593;54622;28656;627;3662;1316;2014;12
09772;    Augsburg (Lkr);170856;107450;50349;1115;8245;2989;3673;24
09773;    Dillingen a.d.Donau (Lkr);67648;40938;22592;409;2539;828;1155;15
09774;    Günzburg (Lkr);87338;51484;30486;440;3256;1299;1659;13
09775;    Neu-Ulm (Lkr);113189;71064;34796;682;4581;1732;2045;21
09776;    Lindau (Bodensee) (Lkr);53868;32973;17441;269;2010;737;1170;5
09777;    Ostallgäu (Lkr);95667;57269;32142;683;3407;1203;2151;15
09778;    Unterallgäu (Lkr);102745;61502;35639;625;3119;1068;1841;19
09779;    Donau-Ries (Lkr);94656;55113;33069;573;4081;1445;1809;11
09780;    Oberallgäu (Lkr);104550;62275;35787;509;3816;1369;2149;14
__________
"Quelle: Kraftfahrt-Bundesamt, Flensburg
http://www.kba.de
 
Methodische Erläuterungen zu Statistiken über
Fahrzeugzulassungen können auf der KBA-Internetseite
abgerufen werden.
 
Ohne Fahrzeuge, die regional nicht zugeordnet werden
konnten.
 
Ab 1.1.2008:
ohne vorübergehend stillgelegte Fahrzeuge."
© Bayerisches Landesamt für Statistik, Fürth 2024
Stand: 02.05.2024 / 12:16:45
