GENESIS-Tabelle: 46251-004r
Bestand an Personenkraftwagen: Kreise, PKW,;;;;;;;;;
Kraftstoffarten, Stichtag;;;;;;;;;
Statistik des Kfz- und Anhängerbestandes;;;;;;;;;
Stichtag: 01.01.2020;;;;;;;;;
;;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten
;;Insgesamt;Benzin;Diesel;Gas;Hybrid;darunter;Elektro;sonstige (bis 2016 einschl. Hybrid/Elektro)
;;;;;;;Plug-in-Hybrid;;
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
09;Bayern;8096844;5041686;2868680;52765;101712;21873;30571;1430
091;  Oberbayern;2804130;1714443;1007013;16155;51132;11856;14929;458
09161;    Ingolstadt (Krfr.St);100807;60391;31774;955;6745;660;928;14
09162;    München, Landeshauptstadt;740244;446481;264201;3652;20082;5588;5695;133
09163;    Rosenheim (Krfr.St);34857;21807;12367;207;356;76;115;5
09171;    Altötting (Lkr);71046;44743;24933;374;764;127;222;10
09172;    Berchtesgadener Land (Lkr);65251;41802;22433;285;553;132;168;10
09173;    Bad Tölz-Wolfratshausen (Lkr);80197;48218;30276;474;933;222;279;17
09174;    Dachau (Lkr);92478;59266;31180;640;1065;200;311;16
09175;    Ebersberg (Lkr);84812;52828;30004;467;1100;274;399;14
09176;    Eichstätt (Lkr);84177;51151;31497;554;734;105;231;10
09177;    Erding (Lkr);89204;53638;33377;508;1352;171;312;17
09178;    Freising (Lkr);109103;64148;42372;750;1185;221;629;19
09179;    Fürstenfeldbruck (Lkr);122967;80945;39343;769;1454;317;438;18
09180;    Garmisch-Partenkirchen (Lkr);51923;33046;17930;309;488;94;137;13
09181;    Landsberg am Lech (Lkr);81721;48836;30763;643;1005;189;456;18
09182;    Miesbach (Lkr);65873;39917;24607;291;777;174;266;15
09183;    Mühldorf a.Inn (Lkr);74355;45894;26970;388;863;116;232;8
09184;    München (Lkr);244513;145489;90587;1053;5764;1796;1579;41
09185;    Neuburg-Schrobenhausen (Lkr);65137;39528;24378;444;635;119;144;8
09186;    Pfaffenhofen a.d.Ilm (Lkr);83487;48979;32733;672;773;134;320;10
09187;    Rosenheim (Lkr);170647;105818;61595;988;1502;358;720;24
09188;    Starnberg (Lkr);87268;54448;30499;458;1264;372;585;14
09189;    Traunstein (Lkr);116185;72298;41810;651;954;213;457;15
09190;    Weilheim-Schongau (Lkr);87878;54772;31384;623;784;198;306;9
092;  Niederbayern;810650;485768;310891;4938;6716;1530;2201;136
09261;    Landshut (Krfr.St);37476;23197;13386;242;514;114;128;9
09262;    Passau (Krfr.St);28604;17934;9997;109;460;69;95;9
09263;    Straubing (Krfr.St);27565;17568;9521;161;250;59;60;5
09271;    Deggendorf (Lkr);78144;46560;30332;564;505;131;173;10
09272;    Freyung-Grafenau (Lkr);52557;31123;20824;239;292;69;75;4
09273;    Kelheim (Lkr);80233;46402;32322;687;573;127;233;16
09274;    Landshut (Lkr);108331;61800;44152;788;1232;264;346;13
09275;    Passau (Lkr);127611;81169;44679;519;902;188;310;32
09276;    Regen (Lkr);49927;29888;19275;248;355;66;156;5
09277;    Rottal-Inn (Lkr);82413;49745;31306;461;668;141;213;20
09278;    Straubing-Bogen (Lkr);68416;40980;26344;454;483;81;146;9
09279;    Dingolfing-Landau (Lkr);69373;39402;28753;466;482;221;266;4
093;  Oberpfalz;730584;450932;266401;5018;6113;1289;1991;129
09361;    Amberg (Krfr.St);25166;16360;8217;129;347;62;108;5
09362;    Regensburg (Krfr.St);92778;57040;33320;595;1360;328;446;17
09363;    Weiden i.d.OPf. (Krfr.St);26138;16845;8855;162;217;40;50;9
09371;    Amberg-Sulzbach (Lkr);69942;43725;25141;404;466;98;192;14
09372;    Cham (Lkr);88655;54384;32939;710;425;84;182;15
09373;    Neumarkt i.d.OPf. (Lkr);88784;53646;33642;504;732;144;252;8
09374;    Neustadt a.d.Waldnaab (Lkr);64802;40424;23455;380;410;104;122;11
09375;    Regensburg (Lkr);125669;77626;45425;1082;1130;234;379;27
09376;    Schwandorf (Lkr);99908;59394;38707;815;792;154;184;16
