GENESIS-Tabelle: 46251-004r
Bestand an Personenkraftwagen: Kreise, PKW,;;;;;;;;;
Kraftstoffarten, Stichtag;;;;;;;;;
Statistik des Kfz- und Anhängerbestandes;;;;;;;;;
Stichtag: 01.01.2020;;;;;;;;;
;;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten
09377;    Tirschenreuth (Lkr);48742;31488;16700;237;234;41;76;7
094;  Oberfranken;689669;452541;225694;4285;5209;1057;1790;150
09461;    Bamberg (Krfr.St);40979;25704;14237;360;459;97;208;11
09462;    Bayreuth (Krfr.St);39615;25577;13193;215;494;90;131;5
09463;    Coburg (Krfr.St);25083;16412;8164;140;275;42;84;8
09464;    Hof (Krfr.St);25952;18324;7191;126;236;43;69;6
09471;    Bamberg (Lkr);101042;63767;35757;665;576;119;258;19
09472;    Bayreuth (Lkr);71277;46011;24242;414;460;78;140;10
09473;    Coburg (Lkr);58391;39968;17417;444;409;89;148;5
09474;    Forchheim (Lkr);77714;50338;25958;453;667;160;284;14
09475;    Hof (Lkr);63579;42876;19789;435;363;71;104;12
09476;    Kronach (Lkr);45184;29968;14617;228;273;65;78;20
09477;    Kulmbach (Lkr);49379;32107;16336;342;478;81;107;9
09478;    Lichtenfels (Lkr);44399;29472;14392;245;181;54;94;15
09479;    Wunsiedel i.Fichtelgebirge (Lkr);47075;32017;14401;218;338;68;85;16
095;  Mittelfranken;1035935;660541;353251;6234;12237;2380;3481;191
09561;    Ansbach (Krfr.St);25536;15973;8918;223;322;66;99;1
09562;    Erlangen (Krfr.St);55572;35708;18524;354;758;177;221;7
09563;    Fürth (Krfr.St);63482;42572;19501;401;789;151;208;11
09564;    Nürnberg (Krfr.St);246845;157492;83383;1318;3817;625;798;37
09565;    Schwabach (Krfr.St);26218;17684;7747;110;553;58;118;6
09571;    Ansbach (Lkr);124575;76638;45844;950;807;178;311;25
09572;    Erlangen-Höchstadt (Lkr);91393;57726;31676;551;1030;363;384;26
09573;    Fürth (Lkr);76518;52590;22586;378;704;147;244;16
09574;    Nürnberger Land (Lkr);110732;72059;36215;564;1502;232;379;13
09575;    Neustadt a.d.Aisch-Bad Windsheim (Lkr);66980;39945;25696;505;563;156;250;21
09576;    Roth (Lkr);86066;53763;30683;431;915;133;258;16
09577;    Weißenburg-Gunzenhausen (Lkr);62018;38391;22478;449;477;94;211;12
096;  Unterfranken;851662;529193;303195;7980;8244;1698;2877;173
09661;    Aschaffenburg (Krfr.St);43423;28419;14008;372;496;94;120;8
09662;    Schweinfurt (Krfr.St);28667;17276;10587;270;446;132;82;6
09663;    Würzburg (Krfr.St);64248;40602;21761;698;906;194;267;14
09671;    Aschaffenburg (Lkr);117419;76854;38183;892;1114;243;356;20
09672;    Bad Kissingen (Lkr);70189;41873;26983;654;417;89;248;14
09673;    Rhön-Grabfeld (Lkr);54247;30494;22446;504;390;85;397;16
09674;    Haßberge (Lkr);58167;33036;24017;639;302;79;159;14
09675;    Kitzingen (Lkr);61322;37880;22067;528;638;125;198;11
09676;    Miltenberg (Lkr);84528;52893;29678;642;1139;175;161;15
09677;    Main-Spessart (Lkr);85136;52492;30820;822;787;137;201;14
09678;    Schweinfurt (Lkr);78326;49269;27372;777;593;143;291;24
09679;    Würzburg (Lkr);105990;68105;35273;1182;1016;202;397;17
097;  Schwaben;1174214;748268;402235;8155;12061;2063;3302;193
09761;    Augsburg (Krfr.St);138396;91300;43170;1318;2208;317;373;27
09762;    Kaufbeuren (Krfr.St);25113;16561;7991;185;308;41;67;1
09763;    Kempten (Allgäu) (Krfr.St);39356;24551;13950;227;488;92;134;6
09764;    Memmingen (Krfr.St);26592;16477;9622;171;252;62;68;2
09771;    Aichach-Friedberg (Lkr);86534;55382;29283;676;933;145;250;10
09772;    Augsburg (Lkr);164782;109064;51937;1167;2119;329;470;25
09773;    Dillingen a.d.Donau (Lkr);64941;40950;22723;461;654;87;138;15
09774;    Günzburg (Lkr);84078;51453;31346;479;612;117;174;14
09775;    Neu-Ulm (Lkr);109953;72188;35868;712;880;151;284;21
09776;    Lindau (Bodensee) (Lkr);52310;33701;17713;305;391;96;191;9
09777;    Ostallgäu (Lkr);91455;56938;32679;721;793;156;307;17
09778;    Unterallgäu (Lkr);98460;61084;35732;642;738;122;243;21
09779;    Donau-Ries (Lkr);91431;55637;33932;602;994;154;256;10
09780;    Oberallgäu (Lkr);100813;62982;36289;489;691;194;347;15
__________
"Quelle: Kraftfahrt-Bundesamt, Flensburg
http://www.kba.de
 
Methodische Erläuterungen zu Statistiken über
Fahrzeugzulassungen können auf der KBA-Internetseite
abgerufen werden.
 
Ohne Fahrzeuge, die regional nicht zugeordnet werden
konnten.
 
Ab 1.1.2008:
ohne vorübergehend stillgelegte Fahrzeuge."
© Bayerisches Landesamt für Statistik, Fürth 2024
Stand: 02.05.2024 / 12:19:22
