GENESIS-Tabelle: 46251-004r
Bestand an Personenkraftwagen: Kreise, PKW,;;;;;;;;;
Kraftstoffarten, Stichtag;;;;;;;;;
Statistik des Kfz- und Anhängerbestandes;;;;;;;;;
Stichtag: 01.01.2019;;;;;;;;;
;;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten
;;Insgesamt;Benzin;Diesel;Gas;Hybrid;darunter;Elektro;sonstige (bis 2016 einschl. Hybrid/Elektro)
;;;;;;;Plug-in-Hybrid;;
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
09577;    Weißenburg-Gunzenhausen (Lkr);61008;37873;22223;470;304;62;126;12
096;  Unterfranken;842980;525803;301264;8380;5356;1120;2004;173
09661;    Aschaffenburg (Krfr.St);44752;29157;14821;371;297;50;97;9
09662;    Schweinfurt (Krfr.St);28156;17215;10299;273;297;76;67;5
09663;    Würzburg (Krfr.St);63920;40367;22038;735;602;141;168;10
09671;    Aschaffenburg (Lkr);115729;75449;38488;890;673;139;211;18
09672;    Bad Kissingen (Lkr);69272;41751;26382;690;263;62;172;14
09673;    Rhön-Grabfeld (Lkr);53485;30445;21882;549;269;61;325;15
09674;    Haßberge (Lkr);57193;32919;23287;687;179;57;106;15
09675;    Kitzingen (Lkr);60520;37559;21811;551;447;78;139;13
09676;    Miltenberg (Lkr);83493;52416;29555;695;715;105;101;11
09677;    Main-Spessart (Lkr);84284;52028;30672;889;540;104;141;14
09678;    Schweinfurt (Lkr);77389;49155;26752;837;409;104;206;30
09679;    Würzburg (Lkr);104787;67342;35277;1213;665;143;271;19
097;  Schwaben;1153691;738123;396632;8591;8032;1411;2119;194
09761;    Augsburg (Krfr.St);136121;89940;43038;1379;1528;218;212;24
09762;    Kaufbeuren (Krfr.St);24543;16199;7904;197;194;33;47;2
09763;    Kempten (Allgäu) (Krfr.St);38765;24199;13902;257;305;61;96;6
09764;    Memmingen (Krfr.St);25887;16089;9426;173;161;37;36;2
09771;    Aichach-Friedberg (Lkr);85118;54750;28840;714;638;112;167;9
09772;    Augsburg (Lkr);162408;107761;51618;1241;1459;215;299;30
09773;    Dillingen a.d.Donau (Lkr);63654;40341;22269;483;480;63;66;15
09774;    Günzburg (Lkr);82410;50724;30631;532;385;82;125;13
09775;    Neu-Ulm (Lkr);108000;71074;35483;750;508;100;165;20
09776;    Lindau (Bodensee) (Lkr);51577;33286;17567;324;249;56;141;10
09777;    Ostallgäu (Lkr);89706;56023;32172;733;552;112;211;15
09778;    Unterallgäu (Lkr);96528;60368;34805;658;501;82;174;22
09779;    Donau-Ries (Lkr);89861;55047;33376;632;636;89;161;9
09780;    Oberallgäu (Lkr);99113;62322;35601;518;436;151;219;17
__________
"Quelle: Kraftfahrt-Bundesamt, Flensburg
http://www.kba.de
 
Methodische Erläuterungen zu Statistiken über
Fahrzeugzulassungen können auf der KBA-Internetseite
abgerufen werden.
 
Ohne Fahrzeuge, die regional nicht zugeordnet werden
konnten.
 
Ab 1.1.2008:
ohne vorübergehend stillgelegte Fahrzeuge."
© Bayerisches Landesamt für Statistik, Fürth 2024
Stand: 02.05.2024 / 12:20:35
